icao,iata,name,attr,longitude,latitude,level,city,tyep
ZWAT,AAT,阿勒泰雪都,机场,88.09560477,47.75748027,4C,阿勒泰,民用运输机场
ZUYI,ACX,兴义万峰林,机场,104.9685884,25.08922914,4C,兴义,民用运输机场
ZGBS,AEB,百色巴马,机场,106.9702328,23.72361216,4C,百色,军民合用支线
ZUHY,AHJ,阿坝红原,机场,102.360461,32.5356636,4C,红原,民用运输机场
ZLAK,AKA,安康富强,机场,108.9419777,32.71188203,4C,安康,军民合用支线机场
ZWAK,AKU,阿克苏红旗坡,机场,80.30031045,41.26975623,4C,阿克苏,军民合用机场
ZYAS,AOG,鞍山腾鳌,机场,122.8656619,41.1132639,4C,鞍山,军民合用机场
ZSAQ,AQG,安庆天柱山,机场,117.0620055,30.58556519,4C,安庆,军民合用机场
ZUAS,AVA,安顺黄果树,机场,105.8831638,26.26288304,4C,安顺,民用运输机场
ZBAL,AXF,阿拉善左旗巴彦浩特,机场,105.5989246,38.75493898,3C,阿拉善左旗,民用运输机场
ZHAY,AYN,安阳北郊,机场,114.3564727,36.14032749,2A,安阳,航校训练机场
ZJQH,BAR,琼海博鳌,机场,110.4657277,19.14232101,4C,琼海,民用运输机场
ZBOW,BAV,包头东河,机场,110.0093873,40.56708676,4D,包头,民用运输机场
ZUBJ,BFJ,毕节飞雄,机场,105.4893234,27.26775144,4C,毕节,民用运输机场
ZSBB,BFU,蚌埠,机场,117.3324508,32.85180523,4C,蚌埠,民用运输机场
ZGBH,BHY,北海福成,机场,109.3047192,21.54300168,4D,北海,民用运输机场
ZBDH,BPE,秦皇岛北戴河,机场,119.0716415,39.673887,4C,秦皇岛,民用运输机场
ZWBL,BPL,博乐阿拉山口,机场,82.309494,44.90207459,4C,博乐,民用运输机场
ZUBD,BPX,昌都邦达,机场,97.11791263,30.55459435,4C,昌都,军民合用机场
ZPBS,BSD,保山云瑞,机场,99.17575497,25.05617405,4C,保山,民用运输机场
ZUBZ,BZX,巴中恩阳,机场,106.6552868,31.74210155,4C,巴中,民用运输机场
ZGGG,CAN,广州白云,国际机场,113.3108689,23.39594267,4F,广州,民用运输机场
ZBCD,CDE,承德普宁,机场,118.0869103,41.13085544,4C,承德,民用运输机场
ZGCD,CGD,常德桃花源,机场,111.6520365,28.92143978,4D,常德,民用运输机场
ZHCC,CGO,郑州新郑,国际机场,113.853463,34.52431978,4F,郑州,民用运输机场
ZYCC,CGQ,长春龙嘉,国际机场,125.6978635,44.00406287,4E,长春,民用运输机场
ZYCY,CHG,朝阳,机场,120.447299,41.54624503,4C,朝阳,民用运输机场
NNNN,CHW,酒泉,机场,98.51096183,39.68304563,3C,酒泉,民用运输机场
ZBCF,CIF,赤峰玉龙,机场,118.920545,42.24327765,4C,赤峰,军民合用机场
ZBCZ,CIH,长治王村,机场,113.1391591,36.25372622,4C,长治,军民合用机场
ZUCK,CKG,重庆江北,国际机场,106.6522754,29.72231319,4F,重庆,民用运输机场
ZYCH,CNI,长海大长山岛,机场,122.678415,39.27372859,,长海,
ZUWL,CQW,重庆仙女山,机场,107.7055053,29.46886498,4C,重庆,民用运输机场
ZGHA,CSX,长沙黄花,国际机场,113.2322879,28.19154404,4F,长沙,民用运输机场
ZUUU,CTU,成都双流,国际机场,103.9556119,30.58175635,4F,成都,民用运输机场
ZPCW,CWJ,沧源佤山,机场,99.37424667,23.27053566,4C,沧源,民用运输机场
ZSCG,CZX,常州奔牛,机场,119.7904696,31.92381033,4E,常州,军民合用机场
ZBDT,DAT,大同云冈,机场,113.4955097,40.06749315,,大同,
ZUDX,DAX,达州河市,机场,107.4407643,31.13402648,4C,达州,国内支线机场
ZYBA,DBC,白城长安,机场,123.0324729,45.51346593,4C,白城,军民合用机场
ZUDC,DCY,稻城亚丁,机场,100.0611829,29.32636667,4C,稻城,军民合用机场
ZYDD,DDG,丹东浪头,机场,124.298123,40.03216149,,丹东,
ZPDQ,DIG,迪庆香格里拉,机场,99.68478118,27.79589325,4D,迪庆,民用运输机场
ZYTL,DLC,大连周水子,国际机场,121.5504617,38.97281759,4F,大连,民用运输机场
ZPDL,DLU,大理荒草坝,机场,100.3265901,25.65271888,,大理,
ZLDH,DNH,敦煌莫高,国际机场,94.81670875,40.16802521,4D,敦煌,民用运输机场
ZSDY,DOY,东营胜利,机场,118.8001515,37.51569997,4D,东营,民用运输机场
ZYDQ,DQA,大庆萨尔图,机场,125.1539892,46.75481122,,大庆,
ZBDS,DSN,鄂尔多斯伊金霍洛,国际机场,109.8735439,39.49655266,4E,鄂尔多斯,民用运输机场
RCLM,DSX,东沙岛,机场,116.7318975,20.7100138,,,
ZYDU,DTU,五大连池德都,机场,126.1464741,48.45343794,,五大连池,
ZGDY,DYG,张家界荷花,国际机场,110.454601,29.10574546,4D,张家界,民用干线机场
ZUDA,DZH,达州金垭,机场,107.4510607,31.04868039,4C,达州,民用运输机场
ZUDZ,DZU,大足空军基地,机场,105.7838524,29.63920543,,重庆,军用专用机场
ZHEC,EHU,鄂州花湖,机场,115.0296111,30.34285556,4E,,民用运输机场
ZBEN,EJN,额济纳旗桃来,机场,101.0090527,42.02309804,,额济纳旗,
ZHES,ENH,恩施许家坪,机场,109.4964518,30.3234607,4C,恩施,民用运输机场
ZLYA,ENY,延安南泥湾,机场,109.5656286,36.64319496,,延安,
ZBER,ERL,二连浩特赛乌素,机场,112.1106202,43.43093529,,二连浩特,
ZSFZ,FOC,福州长乐,国际机场,119.6739934,25.93800098,4E,福州,民用运输机场
ZSFY,FUG,阜阳西关,机场,115.7464445,32.88587258,4C,阜阳,民用运输机场
ZGFS,FUO,佛山沙堤,机场,113.0820084,23.08667845,,佛山,
ZYFY,FYJ,抚远东极,机场,134.3807366,48.20814381,4C,抚远,民用运输机场
ZWFY,FYN,富蕴可可托海,机场,89.52121122,46.81137574,,富蕴,
ZUGH,GHN,广汉,机场,104.3387121,30.95188396,4C,广汉,A1类跑道型通用机场
ZLGL,GMQ,果洛玛沁,机场,100.3089653,34.42278165,,果洛,
ZLGM,GOQ,格尔木,机场,94.79360772,36.40650847,4D,格尔木,军民合用机场
ZLXH,GXH,甘南夏河,机场,102.6528975,34.8149855,4C,甘南,民用运输机场
ZUGU,GYS,广元盘龙,机场,105.7121732,32.3950125,4C,广元,民用运输机场
ZLGY,GYU,固原六盘山,机场,106.2276024,36.08487789,,固原,
ZUGZ,GZG,甘孜格萨尔,机场,99.56122874,31.76187739,4C,甘孜,民用运输机场
ZJHK,HAK,海口美兰,国际机场,110.4699951,19.93862917,4F,海口,民用运输机场
ZLHB,HBQ,海北祁连,机场,100.651477,38.01805001,4C,祁连,民用运输机场
ZGHC,HCJ,河池金城江,机场,107.7103675,24.80770882,,河池,
ZBHD,HDG,邯郸,机场,114.438272,36.5318657,4C,邯郸,民用运输机场
ZYHE,HEK,黑河瑷珲,机场,127.3226664,50.17980647,,黑河,
ZBHH,HET,呼和浩特白塔,国际机场,111.8372064,40.859072,4E,呼和浩特,民用运输机场
ZSOF,HFE,合肥新桥,国际机场,117.310121,31.78369379,4E,合肥,民用运输机场
ZSHC,HGH,杭州萧山,国际机场,120.445087,30.23300553,4F,杭州,民用运输机场
ZSSH,HIA,淮安涟水,国际机场,119.137127,33.79563308,4D,淮安,民用运输机场
ZGCJ,HJJ,怀化芷江,机场,109.71109,27.44383649,,怀化,
ZBLA,HLD,呼伦贝尔东山,国际机场,119.8387818,49.21257881,4D,海拉尔,民用运输机场
ZBUL,HLH,乌兰浩特义勒力特,机场,122.0208443,46.2032786,,乌兰浩特,
ZWHM,HMI,哈密伊州,机场,93.67732472,42.84863656,,哈密,
ZGHY,HNY,衡阳南岳,机场,112.6398311,26.90746943,,衡阳,
ZHSN,HPG,神农架红坪,机场,110.3517439,31.62970568,4C,神农架,民用运输机场
ZYHB,HRB,哈尔滨太平,国际机场,126.2626802,45.63177878,4E,哈尔滨,民用运输机场
ZGSG,HSC,韶关丹霞,机场,113.4331493,24.98198817,,韶关,
ZYSD,HSF,绥芬河东宁,机场,130.8477647,44.46517231,4C,,民用运输机场
ZSZS,HSN,舟山普陀山,机场,122.3728044,29.93785417,4D,舟山,民用运输机场
ZWTN,HTN,和田,机场,79.87344854,37.04390253,4D,和田,军民合用机场
ZLHX,HTT,海西花土沟,机场,90.84929821,38.20828495,4C,海西,民用运输机场
ZBHZ,HUO,霍林郭勒霍林河,机场,119.4208144,45.49561746,,霍林郭勒,
ZGHZ,HUZ,惠州平潭,机场,114.6109562,23.05345075,,惠州,
ZLDL,HXD,海西德令哈,机场,97.27513246,37.13375933,4C,德令哈,民用运输机场
ZSLQ,HYN,台州路桥,机场,121.4398352,28.56554081,4C,台州,军民合用机场
ZLHZ,HZG,汉中城固,机场,107.2172336,33.13798869,,汉中,
ZUNP,HZH,黎平,机场,109.1610257,26.32468345,,黎平,
ZLIC,INC,银川河东,国际机场,106.4044656,38.32921008,4E,银川,民用运输机场
ZWCM,IQM,且末玉都,机场,85.47467595,38.23975656,,且末,
ZLQY,IQN,庆阳,机场,107.6142342,35.80527189,,庆阳,
ZSJD,JDZ,景德镇罗家,机场,117.1879259,29.34166215,4C,景德镇,民用运输机场
ZYJD,JGD,大兴安岭鄂伦春（加格达奇嘎仙）,机场,124.1317083,50.37882822,,加格达奇,
ZLJQ,JGN,嘉峪关,机场,98.34876481,39.86354596,4D,嘉峪关,民用运输机场
ZSGS,JGS,吉安井冈山,机场,114.7484108,26.85963739,,井冈山,
ZPJH,JHG,西双版纳嘎洒,国际机场,100.7676901,21.97696504,4D,西双版纳,民用运输机场
ZLJC,JIC,金昌金川,机场,102.3568054,38.54901452,,金昌,
ZYJL,JIL,吉林二台子,机场,126.4087518,44.01044329,,吉林,
ZUQJ,JIQ,黔江武陵山,机场,108.8418177,29.51685311,4C,黔江,民用运输机场
ZSJJ,JIU,九江庐山,机场,115.8126229,29.48060722,,九江,
ZSQZ,JJN,泉州晋江,国际机场,118.6009449,24.79930433,4D,晋江,军民合用机场
ZPJM,JMJ,澜沧景迈,机场,99.79393284,22.41856973,4C,澜沧,民用运输机场
ZYJM,JMU,佳木斯东郊,国际机场,130.479376,46.85161877,,佳木斯,
ZSJG,JNG,济宁曲阜,机场,116.3589151,35.29825635,4C,济宁,民用运输机场
ZYJZ,JNZ,锦州湾,机场,121.0740147,41.10973208,4C,锦州,民用运输机场
ZYJS,JSJ,建三江湿地,机场,132.674165,47.11788912,4C,建三江,民用运输机场
ZSJH,JUH,池州九华山,机场,117.6974685,30.74391049,4C,池州,民用运输机场
ZSJU,JUZ,衢州,机场,118.9102232,28.96891844,4C,衢州,军民合用机场
ZYJX,JXA,鸡西兴凯湖,机场,131.2073403,45.30110979,,鸡西,
ZUJZ,JZH,九寨黄龙,机场,103.6908594,32.85740655,4D,九寨沟,民用运输机场
ZWKC,KCA,库车龟兹,机场,82.88225043,41.68480828,,库车,
ZUKD,KGT,甘孜康定,机场,101.7429188,30.16088932,4C,康定,民用运输机场
ZWSH,KHG,喀什,国际机场,76.02967401,39.54901575,,喀什,
ZSCN,KHN,南昌昌北,国际机场,115.9112983,28.86800605,4E,南昌,民用运输机场
ZUKJ,KJH,凯里黄平,机场,107.9985863,26.97481233,,凯里,
ZWKN,KJI,布尔津喀纳斯,机场,87.00700973,48.22933184,4C,布尔津,民用运输机场
ZPPP,KMG,昆明长水,国际机场,102.9370974,25.10485426,4F,昆明,民用运输机场
ZSGZ,KOW,赣州黄金,机场,114.7903526,25.8559493,,赣州,
ZWKL,KRL,库尔勒梨城,机场,86.1380804,41.70534824,4D,库尔勒,军民合用机场
ZWKM,KRY,克拉玛依古海,机场,84.96155864,45.47366703,4D,克拉玛依,民用运输机场
