name,code,city,地区,省份,纬度,经度
三亚,SEQ,三亚,三亚,海南省,18.296346,109.492845
亚龙湾,TWQ,三亚,三亚,海南省,18.302125,109.602503
天涯海角,THA,三亚,三亚,海南省,18.306189,109.339063
凤凰机场,FJQ,三亚,三亚,海南省,18.308999,109.408878
南山北,NEQ,三亚,三亚,海南省,18.31835,109.196732
崖州湾,YWA,三亚,三亚,海南省,18.35331,109.1849
崖州,YUQ,三亚,三亚,海南省,18.376103,109.157599
乐东,UQQ,乐东,乐东,海南省,18.445813,108.939147
黄流,KLQ,乐东,乐东,海南省,18.528414,108.831268
陵水,LIQ,陵水,陵水,海南省,18.535868,110.033396
尖峰,PFQ,乐东,乐东,海南省,18.620836,108.752599
神州,SRQ,万宁,万宁,海南省,18.724717,110.30777
金月湾,PYQ,东方,东方,海南省,18.778563,108.715065
万宁,WNQ,万宁,万宁,海南省,18.807688,110.381194
和乐,HLA,万宁,万宁,海南省,18.923261,110.458421
东方,UFQ,东方,东方,海南省,19.088709,108.691224
博鳌,BWQ,琼海,琼海,海南省,19.136195,110.486734
琼海,QYQ,琼海,琼海,海南省,19.240309,110.491326
棋子湾,QZQ,昌江,昌江,海南省,19.337663,108.807249
海头,FTQ,儋州,儋州,海南省,19.494028,108.993651
文昌,WEQ,文昌,文昌,海南省,19.606384,110.737432
白马井,BFQ,儋州,儋州,海南省,19.658956,109.253828
银滩,CTQ,儋州,儋州,海南省,19.790278,109.489131
临高南,KGQ,临高,临高,海南省,19.867726,109.759402
福山镇,FZQ,澄迈,澄迈,海南省,19.876529,109.918454
老城镇,ACQ,澄迈,澄迈,海南省,19.932714,110.117662
美兰,MHQ,海口,海口,海南省,19.942473,110.461765
海口东,HMQ,海口,海口,海南省,19.983424,110.342861
长流,CLA,海口,海口,海南省,19.991829,110.206434
城西,CIA,海口,海口,海南省,19.996117,110.332042
秀英,XYA,海口,海口,海南省,19.996217,110.27585
海口,VUQ,海口,海口,海南省,20.02734,110.16169
徐闻,XJQ,湛江,湛江,广东省,20.345991,110.145491
雷州,UAQ,湛江,湛江,广东省,20.918981,110.045849
湛江,ZJZ,湛江,湛江,广东省,21.186581,110.387483
湛江西,ZWQ,湛江,湛江,广东省,21.242499,110.288889
磨憨,MHM,勐腊,勐腊,云南省,21.250986,101.718848
遂溪,SXZ,湛江,湛江,广东省,21.398478,110.267038
勐腊,MWM,勐腊,勐腊,云南省,21.424862,101.588652
北海,BHZ,北海,北海,广西壮族自治区,21.453089,109.128388
吴川,WAQ,湛江,湛江,广东省,21.509002,110.768901
东兴市,RIZ,防城港,防城港,广西壮族自治区,21.575695,108.016911
廉江,LJZ,湛江,湛江,广东省,21.615146,110.297044
合浦,HVZ,北海,北海,广西壮族自治区,21.622479,109.187918
茂名,MDQ,茂名,茂名,广东省,21.642081,110.929136
化州,HZZ,茂名,茂名,广东省,21.653031,110.652094
茂名西,MMZ,茂名,茂名,广东省,21.680891,110.847697
马踏,PWQ,茂名,茂名,广东省,21.681436,111.366088
河唇,HCZ,湛江,湛江,广东省,21.695745,110.301457
电白,NWQ,茂名,茂名,广东省,21.70408,111.144275
防城港北,FBZ,防城港,防城港,广西壮族自治区,21.715356,108.375419
阳西,WMQ,阳江,阳江,广东省,21.795775,111.644008
阳江,WRQ,阳江,阳江,广东省,21.810431,111.990486
茅岭,MLZ,防城港,防城港,广西壮族自治区,21.847488,108.451658
橄榄坝,GVM,景洪,景洪,云南省,21.869512,100.946437
高州,GSQ,茂名,茂名,广东省,21.895837,110.888553
康熙岭,KXZ,钦州,钦州,广西壮族自治区,21.927169,108.526295
文地,WNZ,玉林,玉林,广西壮族自治区,21.951741,110.197983
阳东,WLQ,阳江,阳江,广东省,21.954649,112.154775
